Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
IND,IND @ TOR,05/01/2016,L,48,84,34,73,46.6,9,19,47.4,7,8,87.5,5,33,38,12,15,5,5,17,-5,
MIA,MIA vs. CHA,05/01/2016,W,48,106,43,89,48.3,9,24,37.5,11,16,68.8,10,48,58,24,9,2,8,16,33,
GSW,GSW vs. POR,05/01/2016,W,48,118,43,91,47.3,11,31,35.5,21,24,87.5,16,39,55,27,12,8,8,22,12,
TOR,TOR vs. IND,05/01/2016,W,48,89,34,89,38.2,8,24,33.3,13,17,76.5,18,31,49,21,9,7,7,12,5,
OKC,OKC @ SAS,04/30/2016,L,48,92,35,85,41.2,6,23,26.1,16,21,76.2,11,27,38,23,10,6,2,13,-32,
SAS,SAS vs. OKC,04/30/2016,W,48,124,51,84,60.7,9,15,60.0,13,18,72.2,5,38,43,39,9,5,10,16,32,
POR,POR vs. LAC,04/29/2016,W,48,106,38,86,44.2,14,32,43.8,16,24,66.7,18,28,46,21,13,4,2,23,3,
CHA,CHA vs. MIA,04/29/2016,L,48,90,32,76,42.1,5,17,29.4,21,25,84.0,5,26,31,12,11,8,5,17,-7,
LAC,LAC @ POR,04/29/2016,L,48,103,39,87,44.8,4,16,25.0,21,31,67.7,16,30,46,15,9,8,1,24,-3,
TOR,TOR @ IND,04/29/2016,L,48,83,29,79,36.7,9,29,31.0,16,25,64.0,15,25,40,14,17,9,5,23,-18,
MIA,MIA @ CHA,04/29/2016,W,48,97,38,83,45.8,8,16,50.0,13,15,86.7,11,35,46,14,13,4,10,24,7,
IND,IND vs. TOR,04/29/2016,W,48,101,35,76,46.1,8,22,36.4,23,26,88.5,12,32,44,21,14,12,7,25,18,
ATL,ATL @ BOS,04/28/2016,W,48,104,38,74,51.4,8,24,33.3,20,27,74.1,3,39,42,26,20,6,12,23,12,
BOS,BOS vs. ATL,04/28/2016,L,48,92,34,94,36.2,7,32,21.9,17,18,94.4,10,33,43,16,12,5,4,29,-12,
CHA,CHA @ MIA,04/27/2016,W,48,90,33,84,39.3,12,24,50.0,12,15,80.0,5,36,41,21,12,8,3,14,2,
HOU,HOU @ GSW,04/27/2016,L,48,81,31,95,32.6,6,32,18.8,13,19,68.4,22,31,53,17,18,8,3,22,-33,
POR,POR @ LAC,04/27/2016,W,48,108,37,83,44.6,12,34,35.3,22,34,64.7,9,44,53,22,10,8,4,23,10,
LAC,LAC vs. POR,04/27/2016,L,48,98,36,86,41.9,6,20,30.0,20,30,66.7,8,37,45,20,10,8,3,24,-10,
GSW,GSW vs. HOU,04/27/2016,W,48,114,45,82,54.9,13,31,41.9,11,19,57.9,6,34,40,30,10,10,6,16,33,
MIA,MIA vs. CHA,04/27/2016,L,48,88,34,81,42.0,5,18,27.8,15,19,78.9,6,44,50,17,14,7,6,16,-2,
ATL,ATL vs. BOS,04/26/2016,W,48,110,42,96,43.8,14,35,40.0,12,16,75.0,13,38,51,30,12,13,3,17,27,
BOS,BOS @ ATL,04/26/2016,L,48,83,29,77,37.7,7,29,24.1,18,25,72.0,10,34,44,19,20,5,6,17,-27,
IND,IND @ TOR,04/26/2016,L,48,99,33,73,45.2,13,29,44.8,20,23,87.0,8,33,41,22,16,5,5,26,-3,
TOR,TOR vs. IND,04/26/2016,W,48,102,33,82,40.2,6,26,23.1,30,35,85.7,12,29,41,12,8,9,3,18,3,
POR,POR vs. LAC,04/25/2016,W,48,98,36,88,40.9,13,31,41.9,13,15,86.7,16,42,58,27,17,5,7,25,14,
OKC,OKC vs. DAL,04/25/2016,W,48,118,41,81,50.6,10,30,33.3,26,32,81.3,14,28,42,19,9,6,5,22,14,
LAC,LAC @ POR,04/25/2016,L,48,84,30,84,35.7,7,25,28.0,17,28,60.7,10,32,42,16,9,10,4,17,-14,
DAL,DAL @ OKC,04/25/2016,L,48,104,38,81,46.9,8,24,33.3,20,24,83.3,13,22,35,24,9,5,3,24,-14,
CHA,CHA vs. MIA,04/25/2016,W,48,89,30,75,40.0,4,16,25.0,25,30,83.3,6,30,36,10,10,7,7,20,4,
MIA,MIA @ CHA,04/25/2016,L,48,85,30,76,39.5,11,29,37.9,14,21,66.7,10,36,46,20,17,2,8,26,-4,
DET,DET vs. CLE,04/24/2016,L,48,98,37,76,48.7,10,24,41.7,14,21,66.7,7,35,42,22,9,3,4,18,-2,
MEM,MEM vs. SAS,04/24/2016,L,48,95,35,78,44.9,5,13,38.5,20,27,74.1,14,23,37,18,17,6,5,29,-21,
ATL,ATL @ BOS,04/24/2016,L,53,95,37,99,37.4,12,42,28.6,9,13,69.2,12,37,49,18,15,8,6,20,-9,
CLE,CLE @ DET,04/24/2016,W,48,100,36,86,41.9,13,36,36.1,15,17,88.2,10,31,41,16,6,6,1,22,2,
