Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
LAL,LAL @ BOS,06/17/2008,L,48,92,27,64,42.2,10,27,37.0,28,38,73.7,2,27,29,16,19,4,0,25,-39,
BOS,BOS vs. LAL,06/17/2008,W,48,131,43,87,49.4,13,26,50.0,32,37,86.5,14,34,48,33,8,18,4,25,39,
LAL,LAL vs. BOS,06/15/2008,W,48,103,36,79,45.6,8,27,29.6,23,31,74.2,10,30,40,19,17,11,7,28,5,
BOS,BOS @ LAL,06/15/2008,L,48,98,33,77,42.9,8,22,36.4,24,31,77.4,11,26,37,20,18,6,2,28,-5,
BOS,BOS @ LAL,06/12/2008,W,48,97,33,73,45.2,8,22,36.4,23,28,82.1,6,34,40,15,11,7,4,24,6,
LAL,LAL vs. BOS,06/12/2008,L,48,91,32,77,41.6,6,21,28.6,21,29,72.4,10,31,41,23,12,6,3,23,-6,
LAL,LAL vs. BOS,06/10/2008,W,48,87,30,69,43.5,6,14,42.9,21,34,61.8,9,35,44,17,13,4,6,23,6,
BOS,BOS @ LAL,06/10/2008,L,48,81,29,83,34.9,8,18,44.4,15,22,68.2,14,31,45,19,13,8,8,28,-6,
BOS,BOS vs. LAL,06/08/2008,W,48,108,36,68,52.9,9,14,64.3,27,38,71.1,10,27,37,31,15,7,3,21,6,
LAL,LAL @ BOS,06/08/2008,L,48,102,41,83,49.4,10,21,47.6,10,10,100,11,25,36,20,14,8,1,28,-6,
LAL,LAL @ BOS,06/05/2008,L,48,88,32,77,41.6,3,14,21.4,21,28,75.0,7,26,33,21,8,8,2,29,-10,
BOS,BOS vs. LAL,06/05/2008,W,48,98,32,76,42.1,6,19,31.6,28,35,80.0,10,36,46,20,14,6,3,22,10,
BOS,BOS @ DET,05/30/2008,W,48,89,32,72,44.4,5,18,27.8,20,27,74.1,11,27,38,14,12,8,4,28,8,
DET,DET vs. BOS,05/30/2008,L,48,81,29,69,42.0,6,21,28.6,17,21,81.0,11,25,36,19,16,3,7,22,-8,
