Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
MIA,MIA vs. DAL,06/12/2011,L,48,95,34,72,47.2,7,23,30.4,20,33,60.6,9,30,39,20,17,7,3,14,-10,
DAL,DAL @ MIA,06/12/2011,W,48,105,41,82,50.0,11,26,42.3,12,18,66.7,10,30,40,19,14,11,1,24,10,
MIA,MIA @ DAL,06/09/2011,L,48,103,37,70,52.9,8,20,40.0,21,26,80.8,9,27,36,25,18,5,4,26,-9,
DAL,DAL vs. MIA,06/09/2011,W,48,112,39,69,56.5,13,19,68.4,21,27,77.8,4,22,26,23,11,8,3,20,9,
MIA,MIA @ DAL,06/07/2011,L,48,83,32,75,42.7,2,14,14.3,17,24,70.8,15,29,44,19,15,8,5,23,-3,
DAL,DAL vs. MIA,06/07/2011,W,48,86,29,73,39.7,4,19,21.1,24,30,80.0,12,29,41,13,11,7,2,18,3,
MIA,MIA @ DAL,06/05/2011,W,48,88,34,78,43.6,8,19,42.1,12,15,80.0,9,27,36,20,13,8,5,27,2,
DAL,DAL vs. MIA,06/05/2011,L,48,86,28,70,40.0,8,21,38.1,22,27,81.5,12,30,42,18,14,3,8,14,-2,
MIA,MIA vs. DAL,06/02/2011,L,48,93,34,73,46.6,9,30,30.0,16,24,66.7,6,24,30,13,12,15,6,17,-2,
DAL,DAL @ MIA,06/02/2011,W,48,95,36,75,48.0,6,17,35.3,17,21,81.0,11,30,41,18,20,8,2,20,2,
MIA,MIA vs. DAL,05/31/2011,W,48,92,31,80,38.8,11,24,45.8,19,26,73.1,16,30,46,20,12,5,4,21,8,
DAL,DAL @ MIA,05/31/2011,L,48,84,25,67,37.3,9,22,40.9,25,32,78.1,6,30,36,18,11,6,8,22,-8,
MIA,MIA @ CHI,05/26/2011,W,48,83,26,66,39.4,6,15,40.0,25,33,75.8,6,36,42,12,17,7,8,18,3,
CHI,CHI vs. MIA,05/26/2011,L,48,80,29,81,35.8,7,22,31.8,15,21,71.4,11,34,45,18,10,8,7,28,-3,
DAL,DAL vs. OKC,05/25/2011,W,48,100,32,78,41.0,5,20,25.0,31,36,86.1,14,30,44,19,12,8,5,17,4,
OKC,OKC @ DAL,05/25/2011,L,48,96,35,82,42.7,5,16,31.3,21,25,84.0,15,34,49,16,13,7,7,24,-4,
MIA,MIA vs. CHI,05/24/2011,W,53,101,32,75,42.7,5,13,38.5,32,38,84.2,8,33,41,12,16,12,10,24,8,
CHI,CHI @ MIA,05/24/2011,L,53,93,35,87,40.2,6,24,25.0,17,22,77.3,10,32,42,20,22,8,5,28,-8,
OKC,OKC vs. DAL,05/23/2011,L,53,105,42,90,46.7,2,13,15.4,19,25,76.0,20,35,55,23,26,9,9,29,-7,
DAL,DAL @ OKC,05/23/2011,W,53,112,35,81,43.2,8,25,32.0,34,39,87.2,5,28,33,16,13,15,2,22,7,
CHI,CHI @ MIA,05/22/2011,L,48,85,32,77,41.6,5,12,41.7,16,21,76.2,13,28,41,15,13,5,4,24,-11,
MIA,MIA vs. CHI,05/22/2011,W,48,96,34,67,50.7,3,9,33.3,25,29,86.2,5,27,32,20,10,6,8,17,11,
OKC,OKC vs. DAL,05/21/2011,L,48,87,27,74,36.5,1,17,5.9,32,36,88.9,12,33,45,11,14,8,9,17,-6,
DAL,DAL @ OKC,05/21/2011,W,48,93,36,82,43.9,7,21,33.3,14,18,77.8,9,28,37,21,12,11,4,24,6,
OKC,OKC @ DAL,05/19/2011,W,48,106,39,70,55.7,7,18,38.9,21,26,80.8,9,29,38,17,15,5,5,24,6,
DAL,DAL vs. OKC,05/19/2011,L,48,100,35,80,43.8,9,27,33.3,21,24,87.5,14,23,37,18,12,7,2,22,-6,
MIA,MIA @ CHI,05/18/2011,W,48,85,32,68,47.1,3,13,23.1,18,24,75.0,10,35,45,18,15,7,6,26,10,
CHI,CHI vs. MIA,05/18/2011,L,48,75,28,82,34.1,3,20,15.0,16,26,61.5,17,24,41,15,10,6,7,25,-10,
DAL,DAL vs. OKC,05/17/2011,W,48,121,39,73,53.4,9,23,39.1,34,36,94.4,8,25,33,22,13,7,8,28,9,
OKC,OKC @ DAL,05/17/2011,L,48,112,34,72,47.2,7,16,43.8,37,43,86.0,11,24,35,19,13,7,3,27,-9,
MIA,MIA @ CHI,05/15/2011,L,48,82,32,68,47.1,3,8,37.5,15,15,100,6,27,33,11,16,7,6,15,-21,
