Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
SAS,SAS @ CLE,06/14/2007,W,48,83,29,68,42.6,5,19,26.3,20,34,58.8,11,34,45,13,14,5,2,19,1,
CLE,CLE vs. SAS,06/14/2007,L,48,82,32,84,38.1,7,22,31.8,11,16,68.8,12,30,42,23,10,5,2,24,-1,
CLE,CLE vs. SAS,06/12/2007,L,48,72,29,79,36.7,3,19,15.8,11,15,73.3,15,33,48,19,13,7,5,17,-3,
SAS,SAS @ CLE,06/12/2007,W,48,75,28,68,41.2,10,19,52.6,9,16,56.3,7,34,41,15,14,7,2,15,3,
SAS,SAS vs. CLE,06/10/2007,W,48,103,37,77,48.1,8,24,33.3,21,26,80.8,12,34,46,21,10,6,6,23,11,
CLE,CLE @ SAS,06/10/2007,L,48,92,33,81,40.7,7,19,36.8,19,29,65.5,13,29,42,15,12,5,2,19,-11,
SAS,SAS vs. CLE,06/07/2007,W,48,85,34,75,45.3,6,16,37.5,11,16,68.8,13,30,43,18,14,6,5,15,9,
CLE,CLE @ SAS,06/07/2007,L,48,76,30,70,42.9,5,15,33.3,11,15,73.3,9,23,32,9,12,8,2,16,-9,
DET,DET @ CLE,06/02/2007,L,48,82,28,78,35.9,3,14,21.4,23,27,85.2,10,23,33,16,12,11,5,32,-16,
CLE,CLE vs. DET,06/02/2007,W,48,98,28,72,38.9,9,21,42.9,33,46,71.7,17,36,53,19,18,7,4,24,16,
DET,DET vs. CLE,05/31/2007,L,58,107,34,80,42.5,4,14,28.6,35,43,81.4,12,33,45,18,14,7,7,27,-2,
CLE,CLE @ DET,05/31/2007,W,58,109,37,82,45.1,7,15,46.7,28,39,71.8,12,27,39,13,14,8,5,36,2,
SAS,SAS vs. UTA,05/30/2007,W,48,109,39,76,51.3,7,15,46.7,24,32,75.0,10,33,43,22,7,5,4,25,25,
UTA,UTA @ SAS,05/30/2007,L,48,84,26,68,38.2,2,8,25.0,30,43,69.8,12,29,41,13,13,4,2,25,-25,
DET,DET @ CLE,05/29/2007,L,48,87,31,75,41.3,3,17,17.6,22,29,75.9,10,30,40,16,13,7,6,24,-4,
CLE,CLE vs. DET,05/29/2007,W,48,91,30,68,44.1,4,14,28.6,27,33,81.8,3,31,34,16,13,8,1,23,4,
SAS,SAS @ UTA,05/28/2007,W,48,91,28,69,40.6,5,15,33.3,30,41,73.2,12,27,39,11,13,8,6,17,12,
UTA,UTA vs. SAS,05/28/2007,L,48,79,32,68,47.1,1,7,14.3,14,20,70.0,8,30,38,18,17,10,8,27,-12,
CLE,CLE vs. DET,05/27/2007,W,48,88,33,67,49.3,6,13,46.2,16,21,76.2,6,28,34,20,11,6,3,16,6,
DET,DET @ CLE,05/27/2007,L,48,82,30,67,44.8,5,15,33.3,17,20,85.0,8,26,34,15,15,6,1,20,-6,
SAS,SAS @ UTA,05/26/2007,L,48,83,28,64,43.8,7,21,33.3,20,25,80.0,3,24,27,17,20,6,4,30,-26,
UTA,UTA vs. SAS,05/26/2007,W,48,109,41,77,53.2,6,9,66.7,21,32,65.6,10,21,31,26,12,12,5,26,26,
CLE,CLE @ DET,05/24/2007,L,48,76,30,75,40.0,6,19,31.6,10,15,66.7,11,28,39,17,15,11,4,18,-3,
DET,DET vs. CLE,05/24/2007,W,48,79,32,72,44.4,6,11,54.5,9,19,47.4,11,26,37,23,18,7,6,16,3,
UTA,UTA @ SAS,05/22/2007,L,48,96,36,82,43.9,3,11,27.3,21,29,72.4,13,22,35,21,17,14,4,18,-9,
SAS,SAS vs. UTA,05/22/2007,W,48,105,40,72,55.6,13,26,50.0,12,18,66.7,9,35,44,28,24,10,10,23,9,
CLE,CLE @ DET,05/21/2007,L,48,76,32,86,37.2,1,10,10.0,11,17,64.7,18,31,49,16,8,11,3,16,-3,
DET,DET vs. CLE,05/21/2007,W,48,79,31,72,43.1,5,14,35.7,12,17,70.6,11,30,41,25,16,3,10,17,3,
SAS,SAS vs. UTA,05/20/2007,W,48,108,38,70,54.3,5,11,45.5,27,40,67.5,8,25,33,26,13,6,7,21,8,
UTA,UTA @ SAS,05/20/2007,L,48,100,36,86,41.9,5,14,35.7,23,27,85.2,21,27,48,16,14,4,4,30,-8,
PHX,PHX @ SAS,05/18/2007,L,48,106,41,85,48.2,6,16,37.5,18,24,75.0,13,30,43,22,18,5,9,23,-8,
SAS,SAS vs. PHX,05/18/2007,W,48,114,43,88,48.9,7,22,31.8,21,30,70.0,16,27,43,22,12,9,9,21,8,
CLE,CLE @ NJN,05/18/2007,W,48,88,33,76,43.4,11,27,40.7,11,18,61.1,8,32,40,18,12,9,2,24,16,
NJN,NJN vs. CLE,05/18/2007,L,48,72,26,69,37.7,3,16,18.8,17,25,68.0,7,35,42,17,16,6,2,16,-16,
CHI,CHI vs. DET,05/17/2007,L,48,85,28,75,37.3,5,18,27.8,24,35,68.6,10,25,35,23,11,5,1,24,-10,
