Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
MIA,MIA vs. OKC,06/21/2012,W,48,121,40,77,51.9,14,26,53.8,27,33,81.8,8,33,41,25,14,8,7,21,15,
OKC,OKC @ MIA,06/21/2012,L,48,106,36,87,41.4,11,28,39.3,23,26,88.5,10,28,38,19,13,7,3,29,-15,
OKC,OKC @ MIA,06/19/2012,L,48,98,40,82,48.8,3,16,18.8,15,16,93.8,8,27,35,13,11,6,2,20,-6,
MIA,MIA vs. OKC,06/19/2012,W,48,104,38,79,48.1,10,26,38.5,18,25,72.0,9,31,40,19,10,8,2,18,6,
MIA,MIA vs. OKC,06/17/2012,W,48,91,28,74,37.8,4,13,30.8,31,35,88.6,14,31,45,13,15,6,5,19,6,
OKC,OKC @ MIA,06/17/2012,L,48,85,33,77,42.9,4,18,22.2,15,24,62.5,11,27,38,11,14,9,8,25,-6,
MIA,MIA @ OKC,06/14/2012,W,48,100,36,76,47.4,6,14,42.9,22,25,88.0,11,29,40,13,14,5,4,21,4,
OKC,OKC vs. MIA,06/14/2012,L,48,96,34,79,43.0,9,26,34.6,19,26,73.1,10,26,36,14,11,9,9,22,-4,
MIA,MIA @ OKC,06/12/2012,L,48,94,36,78,46.2,8,19,42.1,14,18,77.8,7,28,35,20,11,6,1,19,-11,
OKC,OKC vs. MIA,06/12/2012,W,48,105,40,77,51.9,5,17,29.4,20,27,74.1,10,33,43,22,10,5,3,16,11,
BOS,BOS @ MIA,06/09/2012,L,48,88,35,75,46.7,6,19,31.6,12,15,80.0,7,26,33,19,13,10,2,24,-13,
MIA,MIA vs. BOS,06/09/2012,W,48,101,36,70,51.4,9,26,34.6,20,27,74.1,9,29,38,16,13,8,3,14,13,
BOS,BOS vs. MIA,06/07/2012,L,48,79,32,75,42.7,1,14,7.1,14,20,70.0,7,27,34,14,13,9,3,19,-19,
MIA,MIA @ BOS,06/07/2012,W,48,98,37,76,48.7,7,16,43.8,17,22,77.3,10,34,44,15,12,8,4,21,19,
OKC,OKC vs. SAS,06/06/2012,W,48,107,36,72,50.0,10,18,55.6,25,31,80.6,6,36,42,18,15,6,6,18,8,
SAS,SAS @ OKC,06/06/2012,L,48,99,37,84,44.0,11,26,42.3,14,18,77.8,9,25,34,20,12,9,2,24,-8,
MIA,MIA vs. BOS,06/05/2012,L,48,90,32,82,39.0,7,26,26.9,19,25,76.0,12,37,49,13,15,6,3,21,-4,
BOS,BOS @ MIA,06/05/2012,W,48,94,33,81,40.7,6,15,40.0,22,27,81.5,9,30,39,19,13,13,4,21,4,
OKC,OKC @ SAS,06/04/2012,W,48,108,40,80,50.0,8,21,38.1,20,23,87.0,6,28,34,22,17,12,5,25,5,
SAS,SAS vs. OKC,06/04/2012,L,48,103,34,74,45.9,9,24,37.5,26,31,83.9,10,32,42,23,21,8,1,25,-5,
BOS,BOS vs. MIA,06/03/2012,W,53,93,35,85,41.2,9,27,33.3,14,20,70.0,11,28,39,22,15,6,7,30,2,
MIA,MIA @ BOS,06/03/2012,L,53,91,34,80,42.5,6,19,31.6,17,24,70.8,7,33,40,20,17,6,6,28,-2,
OKC,OKC vs. SAS,06/02/2012,W,48,109,44,78,56.4,5,13,38.5,16,21,76.2,7,34,41,27,13,5,5,15,6,
SAS,SAS @ OKC,06/02/2012,L,48,103,41,82,50.0,11,23,47.8,10,16,62.5,7,24,31,17,10,5,2,20,-6,
BOS,BOS vs. MIA,06/01/2012,W,48,101,38,76,50.0,5,17,29.4,20,26,76.9,12,32,44,16,12,4,4,24,10,
MIA,MIA @ BOS,06/01/2012,L,48,91,38,77,49.4,5,17,29.4,10,20,50.0,6,26,32,20,11,5,5,24,-10,
SAS,SAS @ OKC,05/31/2012,L,48,82,30,76,39.5,11,26,42.3,11,15,73.3,12,29,41,18,21,2,7,19,-20,
OKC,OKC vs. SAS,05/31/2012,W,48,102,40,88,45.5,6,22,27.3,16,17,94.1,12,32,44,23,8,14,9,16,20,
BOS,BOS @ MIA,05/30/2012,L,53,111,40,81,49.4,5,16,31.3,26,29,89.7,8,34,42,15,8,5,2,33,-4,
MIA,MIA vs. BOS,05/30/2012,W,53,115,37,83,44.6,10,26,38.5,31,47,66.0,13,29,42,24,8,7,5,18,4,
OKC,OKC @ SAS,05/29/2012,L,48,111,37,88,42.0,8,17,47.1,29,36,80.6,16,24,40,19,10,10,8,28,-9,
SAS,SAS vs. OKC,05/29/2012,W,48,120,43,78,55.1,11,26,42.3,23,35,65.7,8,33,41,27,14,3,8,26,9,
MIA,MIA vs. BOS,05/28/2012,W,48,93,36,72,50.0,5,25,20.0,16,23,69.6,13,35,48,17,14,4,11,21,14,
BOS,BOS @ MIA,05/28/2012,L,48,79,32,81,39.5,4,14,28.6,11,21,52.4,10,23,33,19,9,6,1,19,-14,
SAS,SAS vs. OKC,05/27/2012,W,48,101,38,83,45.8,8,24,33.3,17,25,68.0,12,38,50,22,17,5,2,18,3,
OKC,OKC @ SAS,05/27/2012,L,48,98,35,83,42.2,9,23,39.1,19,23,82.6,9,34,43,18,13,11,9,24,-3,
PHI,PHI @ BOS,05/26/2012,L,48,75,28,80,35.0,5,18,27.8,14,20,70.0,13,32,45,15,15,9,1,23,-10,
BOS,BOS vs. PHI,05/26/2012,W,48,85,31,73,42.5,3,17,17.6,20,22,90.9,4,40,44,17,15,10,6,22,10,
IND,IND vs. MIA,05/24/2012,L,48,93,34,70,48.6,6,17,35.3,19,24,79.2,10,27,37,18,22,3,2,22,-12,
MIA,MIA @ IND,05/24/2012,W,48,105,41,76,53.9,7,20,35.0,16,20,80.0,5,21,26,16,10,9,4,20,12,
PHI,PHI vs. BOS,05/23/2012,W,48,82,32,70,45.7,1,9,11.1,17,28,60.7,7,30,37,22,12,7,6,16,7,
BOS,BOS @ PHI,05/23/2012,L,48,75,26,78,33.3,3,14,21.4,20,23,87.0,14,34,48,14,17,5,2,25,-7,
MIA,MIA vs. IND,05/22/2012,W,48,115,43,70,61.4,9,16,56.3,20,29,69.0,7,42,49,20,13,5,10,20,32,
IND,IND @ MIA,05/22/2012,L,48,83,30,89,33.7,6,21,28.6,17,23,73.9,13,22,35,15,10,8,3,21,-32,
LAL,LAL @ OKC,05/21/2012,L,48,90,34,75,45.3,2,11,18.2,20,26,76.9,3,32,35,12,12,6,6,24,-16,
BOS,BOS vs. PHI,05/21/2012,W,48,101,36,69,52.2,3,15,20.0,26,33,78.8,8,23,31,22,12,11,5,18,16,
OKC,OKC vs. LAL,05/21/2012,W,48,106,42,90,46.7,3,13,23.1,19,25,76.0,14,37,51,20,12,7,6,22,16,
PHI,PHI @ BOS,05/21/2012,L,48,85,36,77,46.8,3,9,33.3,10,16,62.5,14,23,37,20,15,7,1,24,-16,
SAS,SAS @ LAC,05/20/2012,W,48,102,38,72,52.8,6,15,40.0,20,27,74.1,9,31,40,28,16,4,4,22,3,
IND,IND vs. MIA,05/20/2012,L,48,93,33,79,41.8,7,22,31.8,20,24,83.3,8,30,38,17,15,7,6,28,-8,
MIA,MIA @ IND,05/20/2012,W,48,101,38,80,47.5,5,12,41.7,20,28,71.4,14,33,47,20,15,8,9,24,8,
