Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
NJN,NJN vs. LAL,06/12/2002,L,48,107,45,92,48.9,4,9,44.4,13,16,81.3,14,27,41,27,8,5,4,22,-6,
LAL,LAL @ NJN,06/12/2002,W,48,113,37,71,52.1,11,19,57.9,28,37,75.7,7,32,39,28,10,7,3,15,6,
LAL,LAL @ NJN,06/09/2002,W,48,106,37,68,54.4,8,16,50.0,24,35,68.6,7,33,40,17,19,7,10,22,3,
NJN,NJN vs. LAL,06/09/2002,L,48,103,43,83,51.8,3,12,25.0,14,19,73.7,5,22,27,22,13,13,5,27,-3,
NJN,NJN @ LAL,06/07/2002,L,48,83,30,86,34.9,6,22,27.3,17,27,63.0,20,23,43,18,13,11,5,27,-23,
LAL,LAL vs. NJN,06/07/2002,W,48,106,39,78,50.0,9,16,56.3,19,24,79.2,12,35,47,26,16,6,7,21,23,
LAL,LAL vs. NJN,06/05/2002,W,48,99,33,72,45.8,1,10,10.0,32,45,71.1,17,33,50,21,16,8,8,20,5,
NJN,NJN @ LAL,06/05/2002,L,48,94,37,94,39.4,5,16,31.3,15,26,57.7,21,24,45,19,11,9,4,29,-5,
LAL,LAL @ SAC,06/02/2002,W,53,112,39,94,41.5,7,17,41.2,27,33,81.8,15,37,52,24,13,5,4,25,6,
SAC,SAC vs. LAL,06/02/2002,L,53,106,44,97,45.4,2,20,10.0,16,30,53.3,15,36,51,25,14,5,4,30,-6,
NJN,NJN @ BOS,05/31/2002,W,48,96,36,76,47.4,3,10,30.0,21,30,70.0,10,33,43,25,11,8,5,19,8,
BOS,BOS vs. NJN,05/31/2002,L,48,88,34,79,43.0,7,30,23.3,13,22,59.1,11,30,41,24,13,7,4,24,-8,
LAL,LAL vs. SAC,05/31/2002,W,48,106,34,74,45.9,4,15,26.7,34,40,85.0,6,39,45,20,14,3,6,24,4,
SAC,SAC @ LAL,05/31/2002,L,48,102,38,92,41.3,8,19,42.1,18,25,72.0,14,30,44,23,11,9,3,31,-4,
NJN,NJN vs. BOS,05/29/2002,W,48,103,36,79,45.6,6,17,35.3,25,37,67.6,13,32,45,21,14,11,2,23,11,
BOS,BOS @ NJN,05/29/2002,L,48,92,29,81,35.8,10,32,31.3,24,27,88.9,16,34,50,19,17,7,7,29,-11,
LAL,LAL @ SAC,05/28/2002,L,48,91,35,78,44.9,4,17,23.5,17,23,73.9,11,31,42,15,13,3,4,27,-1,
SAC,SAC vs. LAL,05/28/2002,W,48,92,34,72,47.2,2,9,22.2,22,33,66.7,7,32,39,17,10,6,3,20,1,
NJN,NJN @ BOS,05/27/2002,W,48,94,32,78,41.0,10,21,47.6,20,29,69.0,11,32,43,21,15,4,7,21,2,
BOS,BOS vs. NJN,05/27/2002,L,48,92,32,78,41.0,5,20,25.0,23,34,67.6,11,32,43,23,14,10,4,25,-2,
