Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
GSW,GSW vs. TOR,06/13/2019,L,48,110,39,80,48.8,11,31,35.5,21,30,70.0,11,31,42,28,17,9,6,23,-4,
TOR,TOR @ GSW,06/13/2019,W,48,114,39,82,47.6,13,33,39.4,23,29,79.3,11,28,39,25,12,8,2,23,4,
GSW,GSW @ TOR,06/10/2019,W,48,106,38,82,46.3,20,42,47.6,10,14,71.4,6,31,37,27,16,5,7,22,1,
TOR,TOR vs. GSW,06/10/2019,L,48,105,38,85,44.7,8,32,25.0,21,27,77.8,13,30,43,19,13,6,5,19,-1,
TOR,TOR @ GSW,06/07/2019,W,48,105,36,86,41.9,10,32,31.3,23,24,95.8,7,32,39,22,11,12,4,21,13,
GSW,GSW vs. TOR,06/07/2019,L,48,92,35,78,44.9,8,27,29.6,14,21,66.7,8,34,42,26,19,6,6,23,-13,
TOR,TOR @ GSW,06/05/2019,W,48,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,16,9,10,22,14,
GSW,GSW vs. TOR,06/05/2019,L,48,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,15,8,3,21,-14,
TOR,TOR vs. GSW,06/02/2019,L,48,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,15,8,2,22,-5,
GSW,GSW @ TOR,06/02/2019,W,48,109,38,82,46.3,13,34,38.2,20,23,87.0,6,36,42,34,16,7,5,26,5,
GSW,GSW @ TOR,05/30/2019,L,48,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,17,6,2,27,-9,
TOR,TOR vs. GSW,05/30/2019,W,48,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,10,6,6,26,9,
MIL,MIL @ TOR,05/25/2019,L,48,94,30,75,40.0,12,34,35.3,22,31,71.0,12,30,42,19,11,7,7,22,-6,
TOR,TOR vs. MIL,05/25/2019,W,48,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,11,7,4,24,6,
TOR,TOR @ MIL,05/23/2019,W,48,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,6,4,16,6,
MIL,MIL vs. TOR,05/23/2019,L,48,99,38,84,45.2,10,31,32.3,13,18,72.2,8,45,53,26,11,2,2,22,-6,
MIL,MIL @ TOR,05/21/2019,L,48,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,13,8,7,22,-18,
TOR,TOR vs. MIL,05/21/2019,W,48,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,11,9,5,23,18,
GSW,GSW @ POR,05/20/2019,W,53,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,15,10,5,17,2,
POR,POR vs. GSW,05/20/2019,L,53,117,47,98,48.0,16,41,39.0,7,10,70.0,6,32,38,31,13,5,6,15,-2,
MIL,MIL @ TOR,05/19/2019,L,58,112,38,102,37.3,14,44,31.8,22,33,66.7,13,50,63,22,20,14,5,30,-6,
TOR,TOR vs. MIL,05/19/2019,W,58,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,17,11,10,30,6,
GSW,GSW @ POR,05/18/2019,W,48,110,41,84,48.8,8,26,30.8,20,23,87.0,7,42,49,27,14,9,5,24,11,
POR,POR vs. GSW,05/18/2019,L,48,99,34,85,40.0,11,35,31.4,20,33,60.6,10,31,41,22,11,9,3,23,-11,
TOR,TOR @ MIL,05/17/2019,L,48,103,37,87,42.5,10,32,31.3,19,25,76.0,6,34,40,19,14,3,6,30,-22,
MIL,MIL vs. TOR,05/17/2019,W,48,125,43,92,46.7,13,41,31.7,26,35,74.3,11,42,53,27,7,6,4,26,22,
POR,POR @ GSW,05/16/2019,L,48,111,38,86,44.2,18,39,46.2,17,18,94.4,10,27,37,23,13,8,1,22,-3,
GSW,GSW vs. POR,05/16/2019,W,48,114,42,82,51.2,9,29,31.0,21,27,77.8,12,38,50,30,16,4,9,21,3,
MIL,MIL vs. TOR,05/15/2019,W,48,108,37,93,39.8,11,44,25.0,23,27,85.2,15,45,60,21,13,8,11,16,8,
TOR,TOR @ MIL,05/15/2019,L,48,100,34,92,37.0,15,42,35.7,17,20,85.0,8,38,46,17,12,9,4,21,-8,
POR,POR @ GSW,05/14/2019,L,48,94,30,83,36.1,7,28,25.0,27,31,87.1,16,31,47,21,21,5,5,16,-22,
GSW,GSW vs. POR,05/14/2019,W,48,116,42,84,50.0,17,33,51.5,15,18,83.3,11,31,42,30,14,13,8,24,22,
POR,POR @ DEN,05/12/2019,W,48,100,38,93,40.9,4,26,15.4,20,24,83.3,12,43,55,16,4,5,7,31,4,
TOR,TOR vs. PHI,05/12/2019,W,48,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,10,4,22,2,
PHI,PHI @ TOR,05/12/2019,L,48,90,28,65,43.1,9,27,33.3,25,30,83.3,5,36,41,16,17,4,7,21,-2,
DEN,DEN vs. POR,05/12/2019,L,48,96,33,89,37.1,2,19,10.5,28,39,71.8,13,38,51,15,5,1,9,23,-4,
HOU,HOU vs. GSW,05/10/2019,L,48,113,42,89,47.2,17,39,43.6,12,17,70.6,12,28,40,21,17,9,1,22,-5,
GSW,GSW @ HOU,05/10/2019,W,48,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,17,9,7,19,5,
PHI,PHI vs. TOR,05/09/2019,W,48,112,41,89,46.1,10,28,35.7,20,26,76.9,16,36,52,27,18,5,3,22,11,
POR,POR vs. DEN,05/09/2019,W,48,119,41,89,46.1,15,33,45.5,22,30,73.3,11,32,43,18,9,4,5,20,11,
DEN,DEN @ POR,05/09/2019,L,48,108,33,86,38.4,12,32,37.5,30,32,93.8,16,28,44,22,7,7,3,23,-11,
TOR,TOR @ PHI,05/09/2019,L,48,101,35,81,43.2,9,36,25.0,22,29,75.9,9,25,34,25,12,9,4,24,-11,
HOU,HOU @ GSW,05/08/2019,L,48,99,33,79,41.8,12,41,29.3,21,24,87.5,8,31,39,19,17,10,3,20,-5,
GSW,GSW vs. HOU,05/08/2019,W,48,104,39,85,45.9,13,37,35.1,13,18,72.2,12,30,42,28,15,6,1,19,5,
MIL,MIL vs. BOS,05/08/2019,W,48,116,42,94,44.7,15,47,31.9,17,22,77.3,12,46,58,27,17,8,7,23,25,
BOS,BOS @ MIL,05/08/2019,L,48,91,29,93,31.2,7,39,17.9,26,34,76.5,12,36,48,19,14,9,1,18,-25,
POR,POR @ DEN,05/07/2019,L,48,98,36,98,36.7,10,37,27.0,16,30,53.3,13,30,43,19,6,6,5,23,-26,
PHI,PHI @ TOR,05/07/2019,L,48,89,33,79,41.8,6,24,25.0,17,20,85.0,5,32,37,19,19,6,5,26,-36,
TOR,TOR vs. PHI,05/07/2019,W,48,125,40,82,48.8,16,40,40.0,29,33,87.9,6,36,42,22,13,12,2,18,36,
DEN,DEN vs. POR,05/07/2019,W,48,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,8,4,4,22,26,
GSW,GSW @ HOU,05/06/2019,L,48,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,11,6,2,21,-4,
BOS,BOS vs. MIL,05/06/2019,L,48,101,34,90,37.8,9,41,22.0,24,30,80.0,9,42,51,25,11,3,5,20,-12,
MIL,MIL @ BOS,05/06/2019,W,48,113,44,100,44.0,8,37,21.6,17,25,68.0,11,45,56,25,7,4,5,25,12,
HOU,HOU vs. GSW,05/06/2019,W,48,112,39,89,43.8,17,50,34.0,17,24,70.8,13,37,50,18,14,6,6,23,4,
PHI,PHI vs. TOR,05/05/2019,L,48,96,33,82,40.2,12,38,31.6,18,25,72.0,11,32,43,22,13,8,6,23,-5,
POR,POR vs. DEN,05/05/2019,L,48,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,14,4,5,27,-4,
DEN,DEN @ POR,05/05/2019,W,48,116,40,92,43.5,11,25,44.0,25,28,89.3,17,28,45,21,10,7,4,22,4,
TOR,TOR @ PHI,05/05/2019,W,48,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,14,6,3,24,5,
HOU,HOU vs. GSW,05/04/2019,W,53,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,16,4,6,24,5,
GSW,GSW @ HOU,05/04/2019,L,53,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,8,6,6,22,-5,
MIL,MIL @ BOS,05/03/2019,W,48,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,15,8,7,26,7,
DEN,DEN @ POR,05/03/2019,L,68,137,54,119,45.4,15,42,35.7,14,20,70.0,24,42,66,28,21,11,8,27,-3,
BOS,BOS vs. MIL,05/03/2019,L,48,116,35,81,43.2,16,40,40.0,30,32,93.8,6,38,44,24,18,9,3,27,-7,
POR,POR vs. DEN,05/03/2019,W,68,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,14,13,5,24,3,
TOR,TOR @ PHI,05/02/2019,L,48,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,9,7,4,17,-21,
PHI,PHI vs. TOR,05/02/2019,W,48,116,43,84,51.2,10,23,43.5,20,23,87.0,9,36,45,29,13,4,8,17,21,
POR,POR @ DEN,05/01/2019,W,48,97,36,85,42.4,9,29,31.0,16,20,80.0,7,40,47,18,11,5,6,22,7,
DEN,DEN vs. POR,05/01/2019,L,48,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,9,6,5,19,-7,
HOU,HOU @ GSW,04/30/2019,L,48,109,36,77,46.8,17,40,42.5,20,25,80.0,10,31,41,17,18,5,2,21,-6,
BOS,BOS @ MIL,04/30/2019,L,48,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,13,5,2,23,-21,
MIL,MIL vs. BOS,04/30/2019,W,48,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,12,6,4,24,21,
GSW,GSW vs. HOU,04/30/2019,W,48,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,12,10,5,23,6,
POR,POR @ DEN,04/29/2019,L,48,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,18,6,5,24,-8,
DEN,DEN vs. POR,04/29/2019,W,48,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,13,12,7,22,8,
TOR,TOR vs. PHI,04/29/2019,L,48,89,33,90,36.7,10,37,27.0,13,15,86.7,9,27,36,20,13,10,4,22,-5,
PHI,PHI @ TOR,04/29/2019,W,48,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,20,5,4,18,5,
MIL,MIL vs. BOS,04/28/2019,L,48,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,11,6,2,11,-22,
BOS,BOS @ MIL,04/28/2019,W,48,112,47,87,54.0,13,31,41.9,5,8,62.5,3,48,51,25,13,5,11,21,22,
GSW,GSW vs. HOU,04/28/2019,W,48,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,20,7,3,24,4,
HOU,HOU @ GSW,04/28/2019,L,48,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,16,14,3,21,-4,
PHI,PHI @ TOR,04/27/2019,L,48,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,16,5,2,21,-13,
TOR,TOR vs. PHI,04/27/2019,W,48,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,10,3,6,24,13,
SAS,SAS @ DEN,04/27/2019,L,48,86,31,85,36.5,6,23,26.1,18,20,90.0,8,37,45,19,6,3,5,20,-4,
DEN,DEN vs. SAS,04/27/2019,W,48,90,35,88,39.8,2,20,10.0,18,23,78.3,13,40,53,21,6,3,8,19,4,
GSW,GSW @ LAC,04/26/2019,W,48,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,10,6,9,24,19,
LAC,LAC vs. GSW,04/26/2019,L,48,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,15,7,5,26,-19,
DEN,DEN @ SAS,04/25/2019,L,48,103,44,96,45.8,6,24,25.0,9,12,75.0,12,25,37,26,7,5,3,18,-17,
SAS,SAS vs. DEN,04/25/2019,W,48,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,8,3,7,17,17,
LAC,LAC @ GSW,04/24/2019,W,48,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,14,3,1,23,8,
HOU,HOU vs. UTA,04/24/2019,W,48,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,17,12,12,21,7,
GSW,GSW vs. LAC,04/24/2019,L,48,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,8,7,3,23,-8,
UTA,UTA @ HOU,04/24/2019,L,48,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,16,8,4,22,-7,
TOR,TOR vs. ORL,04/23/2019,W,48,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,14,8,3,30,19,
DEN,DEN vs. SAS,04/23/2019,W,48,108,39,78,50.0,14,33,42.4,16,20,80.0,7,42,49,25,14,4,6,21,18,
OKC,OKC @ POR,04/23/2019,L,48,115,47,86,54.7,12,27,44.4,9,15,60.0,6,33,39,24,15,4,8,22,-3,
PHI,PHI vs. BKN,04/23/2019,W,48,122,51,100,51.0,14,33,42.4,6,9,66.7,11,45,56,35,20,10,3,21,22,
POR,POR vs. OKC,04/23/2019,W,48,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,10,8,5,18,3,
SAS,SAS @ DEN,04/23/2019,L,48,90,37,90,41.1,7,24,29.2,9,15,60.0,10,32,42,17,8,6,3,20,-18,
ORL,ORL @ TOR,04/23/2019,L,48,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,17,7,5,21,-19,
BKN,BKN @ PHI,04/23/2019,L,48,100,36,93,38.7,9,31,29.0,19,25,76.0,9,32,41,26,15,10,4,13,-22,
UTA,UTA vs. HOU,04/22/2019,W,48,107,37,86,43.0,11,35,31.4,22,26,84.6,16,36,52,24,15,7,7,19,16,
DET,DET vs. MIL,04/22/2019,L,48,104,41,100,41.0,13,34,38.2,9,12,75.0,10,26,36,26,11,8,1,31,-23,
MIL,MIL @ DET,04/22/2019,W,48,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,19,6,10,21,23,
HOU,HOU @ UTA,04/22/2019,L,48,91,28,79,35.4,17,46,37.0,18,24,75.0,9,26,35,14,16,9,4,23,-16,
LAC,LAC vs. GSW,04/21/2019,L,48,105,34,80,42.5,13,31,41.9,24,32,75.0,4,29,33,22,10,8,4,21,-8,
TOR,TOR @ ORL,04/21/2019,W,48,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,14,11,6,20,22,
OKC,OKC vs. POR,04/21/2019,L,48,98,33,88,37.5,15,40,37.5,17,22,77.3,6,38,44,23,14,7,4,22,-13,
ORL,ORL vs. TOR,04/21/2019,L,48,85,34,81,42.0,7,33,21.2,10,13,76.9,7,27,34,20,17,7,2,19,-22,
GSW,GSW @ LAC,04/21/2019,W,48,113,42,89,47.2,12,31,38.7,17,19,89.5,11,38,49,27,13,5,2,27,8,
BOS,BOS @ IND,04/21/2019,W,48,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,17,7,1,23,4,
IND,IND vs. BOS,04/21/2019,L,48,106,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,12,5,2,25,-4,
POR,POR @ OKC,04/21/2019,W,48,111,37,90,41.1,15,35,42.9,22,23,95.7,8,41,49,16,13,10,8,22,13,
PHI,PHI @ BKN,04/20/2019,W,48,112,44,88,50.0,8,26,30.8,16,21,76.2,12,44,56,25,21,6,8,24,4,
DET,DET vs. MIL,04/20/2019,L,48,103,37,96,38.5,11,36,30.6,18,24,75.0,15,29,44,21,9,9,6,24,-16,
SAS,SAS vs. DEN,04/20/2019,L,48,103,37,79,46.8,5,17,29.4,24,32,75.0,11,35,46,23,10,4,4,22,-14,
HOU,HOU @ UTA,04/20/2019,W,48,104,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,13,11,4,25,3,
BKN,BKN vs. PHI,04/20/2019,L,48,108,36,90,40.0,12,38,31.6,24,31,77.4,12,29,41,23,14,10,4,26,-4,
UTA,UTA vs. HOU,04/20/2019,L,48,101,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,14,9,11,22,-3,
DEN,DEN @ SAS,04/20/2019,W,48,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,8,4,2,22,14,
MIL,MIL @ DET,04/20/2019,W,48,119,42,86,48.8,14,38,36.8,21,24,87.5,13,38,51,24,16,5,6,22,16,
BOS,BOS @ IND,04/19/2019,W,48,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,13,4,4,19,8,
TOR,TOR @ ORL,04/19/2019,W,48,98,39,87,44.8,11,28,39.3,9,10,90.0,8,35,43,26,13,9,3,23,5,
OKC,OKC vs. POR,04/19/2019,W,48,120,37,77,48.1,15,29,51.7,31,39,79.5,8,29,37,27,15,6,5,24,12,
POR,POR @ OKC,04/19/2019,L,48,108,39,83,47.0,12,31,38.7,18,24,75.0,12,29,41,18,18,5,1,33,-12,
ORL,ORL vs. TOR,04/19/2019,L,48,93,29,80,36.3,13,44,29.5,22,23,95.7,7,35,42,19,16,8,5,17,-5,
IND,IND vs. BOS,04/19/2019,L,48,96,34,81,42.0,11,30,36.7,17,23,73.9,8,32,40,20,11,9,4,19,-8,
DEN,DEN @ SAS,04/18/2019,L,48,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,13,3,1,21,-10,
PHI,PHI @ BKN,04/18/2019,W,48,131,45,94,47.9,11,27,40.7,30,35,85.7,15,39,54,26,16,9,5,29,16,
LAC,LAC vs. GSW,04/18/2019,L,48,105,35,94,37.2,7,32,21.9,28,34,82.4,16,27,43,21,13,6,2,25,-27,
GSW,GSW @ LAC,04/18/2019,W,48,132,51,93,54.8,15,35,42.9,15,18,83.3,10,40,50,35,12,4,11,28,27,
SAS,SAS vs. DEN,04/18/2019,W,48,118,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,6,9,2,20,10,
BKN,BKN vs. PHI,04/18/2019,L,48,115,39,96,40.6,8,39,20.5,29,35,82.9,13,30,43,12,16,6,2,24,-16,
BOS,BOS vs. IND,04/17/2019,W,48,99,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,14,3,5,16,8,
DET,DET @ MIL,04/17/2019,L,48,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,9,5,7,21,-21,
UTA,UTA @ HOU,04/17/2019,L,48,98,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,12,16,3,26,-20,
HOU,HOU vs. UTA,04/17/2019,W,48,118,38,80,47.5,17,42,40.5,25,30,83.3,8,38,46,17,18,8,9,18,20,
