Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
GSW,GSW vs. CLE,06/12/2017,W,48,129,46,90,51.1,14,38,36.8,23,28,82.1,13,29,42,27,13,8,2,24,9,
CLE,CLE @ GSW,06/12/2017,L,48,120,47,88,53.4,11,24,45.8,15,23,65.2,12,28,40,22,15,6,5,22,-9,
CLE,CLE vs. GSW,06/09/2017,W,48,137,46,87,52.9,24,45,53.3,21,31,67.7,11,30,41,27,11,6,3,24,21,
GSW,GSW @ CLE,06/09/2017,L,48,116,39,87,44.8,11,39,28.2,27,36,75.0,16,24,40,26,12,5,6,27,-21,
GSW,GSW @ CLE,06/07/2017,W,48,118,40,83,48.2,16,33,48.5,22,24,91.7,8,36,44,29,18,8,4,28,5,
CLE,CLE vs. GSW,06/07/2017,L,48,113,40,90,44.4,12,44,27.3,21,25,84.0,10,27,37,17,12,9,3,25,-5,
GSW,GSW vs. CLE,06/04/2017,W,48,132,46,89,51.7,18,43,41.9,22,24,91.7,10,43,53,34,20,5,7,19,19,
CLE,CLE @ GSW,06/04/2017,L,48,113,45,100,45.0,8,29,27.6,15,19,78.9,10,31,41,27,9,15,1,18,-19,
CLE,CLE @ GSW,06/01/2017,L,48,91,30,86,34.9,11,31,35.5,20,25,80.0,15,44,59,15,20,0,6,23,-22,
GSW,GSW vs. CLE,06/01/2017,W,48,113,45,106,42.5,12,33,36.4,11,16,68.8,14,36,50,31,4,12,3,24,22,
CLE,CLE @ BOS,05/25/2017,W,48,135,48,85,56.5,19,41,46.3,20,24,83.3,6,32,38,24,11,13,5,21,33,
BOS,BOS vs. CLE,05/25/2017,L,48,102,37,86,43.0,11,30,36.7,17,23,73.9,12,27,39,20,18,7,5,23,-33,
BOS,BOS @ CLE,05/23/2017,L,48,99,35,79,44.3,10,31,32.3,19,20,95.0,7,22,29,26,12,7,2,15,-13,
CLE,CLE vs. BOS,05/23/2017,W,48,112,44,74,59.5,10,22,45.5,14,17,82.4,4,33,37,23,15,5,4,16,13,
SAS,SAS vs. GSW,05/22/2017,L,48,115,41,98,41.8,8,25,32.0,25,32,78.1,12,30,42,33,8,14,4,20,-14,
GSW,GSW @ SAS,05/22/2017,W,48,129,48,86,55.8,14,39,35.9,19,25,76.0,5,48,53,30,17,7,3,25,14,
CLE,CLE vs. BOS,05/21/2017,L,48,108,32,70,45.7,16,39,41.0,28,36,77.8,11,35,46,21,16,5,4,11,-3,
BOS,BOS @ CLE,05/21/2017,W,48,111,42,91,46.2,18,40,45.0,9,12,75.0,11,27,38,28,9,10,3,23,3,
SAS,SAS vs. GSW,05/20/2017,L,48,108,44,93,47.3,5,21,23.8,15,25,60.0,15,31,46,22,16,10,3,21,-12,
GSW,GSW @ SAS,05/20/2017,W,48,120,46,84,54.8,11,27,40.7,17,22,77.3,9,33,42,23,21,12,6,23,12,
BOS,BOS vs. CLE,05/19/2017,L,48,86,32,86,37.2,8,27,29.6,14,15,93.3,10,29,39,23,21,7,4,19,-44,
CLE,CLE @ BOS,05/19/2017,W,48,130,48,85,56.5,19,39,48.7,15,23,65.2,9,36,45,28,12,10,6,17,44,
CLE,CLE @ BOS,05/17/2017,W,48,117,39,81,48.1,11,31,35.5,28,35,80.0,12,32,44,21,8,9,2,17,13,
BOS,BOS vs. CLE,05/17/2017,L,48,104,41,88,46.6,12,38,31.6,10,18,55.6,13,27,40,33,14,4,1,26,-13,
GSW,GSW vs. SAS,05/16/2017,W,48,136,50,89,56.2,18,37,48.6,18,19,94.7,6,34,40,39,16,16,5,19,36,
SAS,SAS @ GSW,05/16/2017,L,48,100,37,100,37.0,8,23,34.8,18,21,85.7,22,27,49,21,19,11,5,17,-36,
BOS,BOS vs. WAS,05/15/2017,W,48,115,42,79,53.2,11,24,45.8,20,25,80.0,4,27,31,27,8,7,4,24,10,
WAS,WAS @ BOS,05/15/2017,L,48,105,36,80,45.0,10,29,34.5,23,29,79.3,10,33,43,18,15,6,4,17,-10,
GSW,GSW vs. SAS,05/14/2017,W,48,113,39,81,48.1,11,30,36.7,24,33,72.7,17,26,43,22,19,13,8,24,2,
