Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
SAS,SAS vs. MIA,06/15/2014,W,48,104,37,78,47.4,12,26,46.2,18,23,78.3,6,34,40,25,8,5,4,21,17,
MIA,MIA @ SAS,06/15/2014,L,48,87,30,75,40.0,7,25,28.0,20,27,74.1,5,36,41,14,12,5,4,23,-17,
MIA,MIA vs. SAS,06/12/2014,L,48,86,32,71,45.1,9,22,40.9,13,20,65.0,6,21,27,13,13,7,1,25,-21,
SAS,SAS @ MIA,06/12/2014,W,48,107,40,70,57.1,9,21,42.9,18,25,72.0,12,32,44,25,14,8,4,19,21,
MIA,MIA vs. SAS,06/10/2014,L,48,92,32,62,51.6,10,21,47.6,18,24,75.0,5,21,26,17,20,8,1,26,-19,
SAS,SAS @ MIA,06/10/2014,W,48,111,38,64,59.4,9,20,45.0,26,32,81.3,5,24,29,21,13,12,4,25,19,
SAS,SAS vs. MIA,06/08/2014,L,48,96,36,82,43.9,12,26,46.2,12,20,60.0,11,26,37,26,11,7,1,20,-2,
MIA,MIA @ SAS,06/08/2014,W,48,98,37,70,52.9,8,19,42.1,16,21,76.2,5,33,38,16,16,6,3,20,2,
SAS,SAS vs. MIA,06/05/2014,W,48,110,40,68,58.8,13,25,52.0,17,22,77.3,5,34,39,30,23,8,4,14,15,
MIA,MIA @ SAS,06/05/2014,L,48,95,37,78,47.4,12,29,41.4,9,11,81.8,7,22,29,16,18,14,2,21,-15,
OKC,OKC vs. SAS,05/31/2014,L,53,107,35,82,42.7,8,27,29.6,29,33,87.9,7,38,45,19,20,9,7,29,-5,
SAS,SAS @ OKC,05/31/2014,W,53,112,38,94,40.4,11,35,31.4,25,34,73.5,16,33,49,20,14,15,5,24,5,
IND,IND @ MIA,05/30/2014,L,48,92,32,69,46.4,10,25,40.0,18,24,75.0,4,24,28,14,12,5,2,17,-25,
MIA,MIA vs. IND,05/30/2014,W,48,117,44,76,57.9,11,26,42.3,18,21,85.7,8,29,37,24,11,7,4,22,25,
SAS,SAS vs. OKC,05/29/2014,W,48,117,39,76,51.3,13,26,50.0,26,30,86.7,10,38,48,23,12,6,3,19,28,
OKC,OKC @ SAS,05/29/2014,L,48,89,35,81,43.2,6,24,25.0,13,20,65.0,8,27,35,19,11,6,4,24,-28,
IND,IND vs. MIA,05/28/2014,W,48,93,37,78,47.4,6,21,28.6,13,22,59.1,16,29,45,13,13,12,2,16,3,
MIA,MIA @ IND,05/28/2014,L,48,90,34,75,45.3,15,31,48.4,7,8,87.5,11,27,38,22,17,6,3,24,-3,
SAS,SAS @ OKC,05/27/2014,L,48,92,33,83,39.8,9,27,33.3,17,22,77.3,11,30,41,17,13,4,2,22,-13,
OKC,OKC vs. SAS,05/27/2014,W,48,105,37,76,48.7,7,16,43.8,24,31,77.4,5,37,42,22,7,12,8,20,13,
MIA,MIA vs. IND,05/26/2014,W,48,102,32,69,46.4,8,24,33.3,30,34,88.2,6,28,34,16,7,7,2,17,12,
IND,IND @ MIA,05/26/2014,L,48,90,35,71,49.3,9,21,42.9,11,17,64.7,9,28,37,18,14,1,1,27,-12,
SAS,SAS @ OKC,05/25/2014,L,48,97,36,91,39.6,10,26,38.5,15,16,93.8,11,25,36,22,16,6,2,20,-9,
OKC,OKC vs. SAS,05/25/2014,W,48,106,37,81,45.7,6,22,27.3,26,31,83.9,15,37,52,17,18,7,10,24,9,
