Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
ORL,ORL vs. LAL,06/14/2009,L,48,86,34,82,41.5,8,27,29.6,10,16,62.5,6,30,36,20,13,6,3,23,-13,
LAL,LAL @ ORL,06/14/2009,W,48,99,35,80,43.8,8,16,50.0,21,28,75.0,13,34,47,13,12,6,8,20,13,
LAL,LAL @ ORL,06/11/2009,W,53,99,38,91,41.8,8,23,34.8,15,20,75.0,10,29,39,15,8,8,2,28,8,
ORL,ORL vs. LAL,06/11/2009,L,53,91,31,74,41.9,7,21,33.3,22,37,59.5,7,34,41,17,19,4,10,21,-8,
LAL,LAL @ ORL,06/09/2009,L,48,104,40,78,51.3,8,23,34.8,16,26,61.5,11,16,27,16,13,6,3,25,-4,
ORL,ORL vs. LAL,06/09/2009,W,48,108,40,64,62.5,5,14,35.7,23,30,76.7,5,24,29,23,13,7,3,21,4,
ORL,ORL @ LAL,06/07/2009,L,53,96,33,79,41.8,10,30,33.3,20,27,74.1,10,34,44,22,20,5,6,24,-5,
LAL,LAL vs. ORL,06/07/2009,W,53,101,36,78,46.2,5,15,33.3,24,28,85.7,4,31,35,20,12,12,6,25,5,
ORL,ORL @ LAL,06/04/2009,L,48,75,23,77,29.9,8,23,34.8,21,29,72.4,10,31,41,10,8,8,8,21,-25,
LAL,LAL vs. ORL,06/04/2009,W,48,100,41,89,46.1,3,9,33.3,15,18,83.3,15,40,55,18,9,4,7,23,25,
ORL,ORL vs. CLE,05/30/2009,W,48,103,37,80,46.3,12,29,41.4,17,21,81.0,11,36,47,19,12,6,2,20,13,
CLE,CLE @ ORL,05/30/2009,L,48,90,35,79,44.3,9,20,45.0,11,22,50.0,8,26,34,17,10,6,3,21,-13,
LAL,LAL @ DEN,05/29/2009,W,48,119,43,75,57.3,9,16,56.3,24,24,100,9,29,38,28,14,6,4,19,27,
DEN,DEN vs. LAL,05/29/2009,L,48,92,32,73,43.8,8,19,42.1,20,25,80.0,7,20,27,14,13,7,3,22,-27,
CLE,CLE vs. ORL,05/28/2009,W,48,112,38,76,50.0,9,18,50.0,27,34,79.4,8,31,39,21,12,4,6,25,10,
ORL,ORL @ CLE,05/28/2009,L,48,102,33,72,45.8,8,25,32.0,28,41,68.3,8,30,38,12,12,11,4,27,-10,
DEN,DEN @ LAL,05/27/2009,L,48,94,32,83,38.6,7,24,29.2,23,30,76.7,14,29,43,17,16,11,5,30,-9,
LAL,LAL vs. DEN,05/27/2009,W,48,103,37,76,48.7,3,16,18.8,26,35,74.3,10,32,42,25,16,5,12,22,9,
CLE,CLE @ ORL,05/26/2009,L,53,114,39,87,44.8,6,22,27.3,30,36,83.3,7,33,40,17,14,10,3,25,-2,
ORL,ORL vs. CLE,05/26/2009,W,53,116,40,80,50.0,17,38,44.7,19,27,70.4,4,34,38,21,15,5,4,25,2,
