Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
LAL,LAL vs. BOS,06/17/2010,W,48,83,27,83,32.5,4,20,20.0,25,37,67.6,23,30,53,11,11,7,3,19,4,
BOS,BOS @ LAL,06/17/2010,L,48,79,29,71,40.8,6,16,37.5,15,17,88.2,8,32,40,18,15,6,7,25,-4,
LAL,LAL vs. BOS,06/15/2010,W,48,89,33,79,41.8,6,19,31.6,17,19,89.5,12,40,52,17,13,13,8,17,22,
BOS,BOS @ LAL,06/15/2010,L,48,67,28,84,33.3,5,23,21.7,6,10,60.0,11,28,39,17,14,8,4,21,-22,
BOS,BOS vs. LAL,06/13/2010,W,48,92,40,71,56.3,3,12,25.0,9,13,69.2,7,28,35,21,17,8,7,23,6,
LAL,LAL @ BOS,06/13/2010,L,48,86,31,78,39.7,7,19,36.8,17,26,65.4,16,18,34,12,14,9,1,22,-6,
BOS,BOS vs. LAL,06/10/2010,W,48,96,37,83,44.6,3,12,25.0,19,23,82.6,16,25,41,15,12,12,2,21,7,
LAL,LAL @ BOS,06/10/2010,L,48,89,32,71,45.1,7,20,35.0,18,22,81.8,8,26,34,13,16,6,3,23,-7,
LAL,LAL @ BOS,06/08/2010,W,48,91,34,76,44.7,2,15,13.3,21,24,87.5,11,32,43,13,9,2,7,20,7,
BOS,BOS vs. LAL,06/08/2010,L,48,84,32,73,43.8,4,18,22.2,16,24,66.7,8,27,35,20,10,4,2,27,-7,
LAL,LAL vs. BOS,06/06/2010,L,48,94,29,71,40.8,5,22,22.7,31,41,75.6,10,29,39,18,15,8,14,29,-9,
BOS,BOS @ LAL,06/06/2010,W,48,103,36,84,42.9,11,16,68.8,20,26,76.9,13,31,44,28,14,6,3,29,9,
BOS,BOS @ LAL,06/03/2010,L,48,89,29,67,43.3,1,10,10.0,30,36,83.3,8,23,31,19,14,5,5,28,-13,
LAL,LAL vs. BOS,06/03/2010,W,48,102,37,76,48.7,4,10,40.0,24,31,77.4,12,30,42,18,15,6,7,26,13,
LAL,LAL @ PHX,05/29/2010,W,48,111,39,83,47.0,10,24,41.7,23,28,82.1,14,27,41,18,10,6,3,23,8,
