away,home,pred
NOP,TOR,[0]
LAL,LAC,[0]
CHI,CHA,[0]
DET,IND,[1]
CLE,ORL,[0]
MIN,BKN,[0]
MEM,MIA,[0]
BOS,PHI,[0]
WAS,DAL,[1]
NYK,SAS,[0]
OKC,UTA,[0]
SAC,PHX,[1]
DEN,POR,[0]
ATL,DET,[0]
MIL,HOU,[0]
LAC,GSW,[0]
