Unnamed: 0_left,Team_left,Match Up_left,Game Date_left,W/L_left,MIN_left,PTS_left,FGM_left,FGA_left,FG%_left,3PM_left,3PA_left,3P%_left,FTM_left,FTA_left,FT%_left,OREB_left,DREB_left,REB_left,AST_left,STL_left,BLK_left,TOV_left,PF_left,+/-_left,winrate 35_left,Unnamed: 0_right,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,STL_right,BLK_right,TOV_right,PF_right,+/-_right,winrate 35_right
1,LAC,LAC @ WAS,11/20/2018,L,240,112.5,41.294117647058826,86.91176470588235,47.1764705882353,8.647058823529411,23.147058823529413,36.11764705882353,21.264705882352942,27.91176470588235,74.44117647058823,10.294117647058824,34.61764705882353,44.911764705882355,22.264705882352942,6.235294117647059,4.5588235294117645,14.558823529411764,21.323529411764707,0.14705882352941177,0.5294117647058824,0,WAS,WAS vs. LAC,11/20/2018,W,240,107.72727272727273,39.63636363636363,86.51515151515152,45.54545454545455,10.242424242424242,29.12121212121212,34.84848484848485,18.21212121212121,23.96969696969697,75.93939393939394,9.727272727272727,32.63636363636363,42.36363636363637,25.0,7.848484848484849,5.121212121212121,14.757575757575758,21.606060606060606,-4.515151515151516,0.3333333333333333
3,ORL,ORL vs. TOR,11/20/2018,L,240,101.58823529411765,38.794117647058826,88.67647058823529,43.470588235294116,10.205882352941176,30.58823529411765,32.94117647058823,13.794117647058824,18.058823529411764,76.44117647058823,9.5,33.35294117647059,42.85294117647059,24.441176470588236,7.852941176470588,5.588235294117647,13.852941176470589,19.147058823529413,-4.5,0.4117647058823529,999,ORL,ORL @ SAC,03/09/2018,L,240,,,,,,,,,,,,,,,,,,,,
5,MIA,MIA vs. BKN,11/20/2018,L,240,109.21875,40.40625,89.84375,44.71875,11.78125,31.875,36.25,16.625,22.375,74.09375,10.59375,35.78125,46.375,23.59375,7.21875,6.125,14.84375,22.3125,0.8125,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NYK,NYK vs. POR,11/20/2018,L,240,107.18181818181819,41.0,91.06060606060606,44.57575757575758,9.454545454545455,28.242424242424242,32.84848484848485,15.727272727272727,20.303030303030305,77.9090909090909,11.363636363636363,33.36363636363637,44.72727272727273,21.636363636363637,7.181818181818182,4.484848484848484,14.303030303030303,22.272727272727273,-5.787878787878788,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BOS,BOS @ CHA,11/19/2018,L,240,103.59375,38.1875,87.09375,43.46875,11.4375,31.21875,36.6875,15.78125,20.4375,76.5,10.3125,35.46875,45.78125,22.96875,8.125,4.65625,14.46875,19.375,1.625,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IND,IND vs. UTA,11/19/2018,W,240,104.03125,40.375,86.6875,46.34375,9.15625,24.75,36.40625,14.125,18.84375,75.03125,9.28125,32.4375,41.71875,22.59375,9.1875,4.78125,13.5,19.5625,1.90625,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DEN,DEN @ MIL,11/19/2018,L,240,112.96875,41.65625,88.4375,46.71875,11.28125,31.15625,35.375,18.375,24.25,75.75,11.1875,35.3125,46.5,26.09375,7.59375,5.53125,14.0,20.8125,5.15625,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SAC,SAC vs. OKC,11/19/2018,W,240,105.24242424242425,40.90909090909091,89.12121212121212,45.484848484848484,9.696969696969697,26.636363636363637,36.121212121212125,13.727272727272727,19.454545454545453,70.3030303030303,9.666666666666666,34.09090909090909,43.75757575757576,23.545454545454547,7.515151515151516,4.393939393939394,14.0,21.96969696969697,-3.090909090909091,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NOP,NOP vs. SAS,11/19/2018,W,240,113.3529411764706,43.64705882352941,90.67647058823529,47.705882352941174,9.205882352941176,26.176470588235293,34.470588235294116,16.852941176470587,21.91176470588235,76.70588235294117,10.205882352941176,36.73529411764706,46.94117647058823,27.235294117647058,7.676470588235294,6.411764705882353,14.5,20.38235294117647,2.2941176470588234,0.5588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DAL,DAL @ MEM,11/19/2018,L,240,106.0625,39.28125,87.09375,44.78125,11.6875,33.875,34.59375,15.8125,21.25,73.59375,9.4375,34.53125,43.96875,22.90625,6.90625,4.375,14.1875,20.03125,-1.5625,0.34375,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ATL,ATL vs. LAC,11/19/2018,L,240,105.0625,38.625,87.9375,43.6875,11.875,34.875,33.59375,15.9375,21.65625,74.375,8.75,36.03125,44.78125,24.34375,7.4375,4.5625,16.8125,21.0,-9.3125,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PHI,PHI vs. PHX,11/19/2018,W,240,114.85714285714286,42.285714285714285,89.51428571428572,46.74285714285714,11.885714285714286,32.57142857142857,36.05714285714286,18.4,24.685714285714287,74.22857142857143,10.485714285714286,38.97142857142857,49.457142857142856,29.142857142857142,7.8,5.8,15.114285714285714,22.428571428571427,6.942857142857143,0.7714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CLE,CLE @ DET,11/19/2018,L,240,109.3225806451613,40.41935483870968,86.41935483870968,46.483870967741936,10.35483870967742,27.225806451612904,37.096774193548384,18.129032258064516,23.129032258064516,78.06451612903226,10.193548387096774,33.03225806451613,43.225806451612904,21.419354838709676,7.225806451612903,3.225806451612903,14.32258064516129,19.225806451612904,-1.6451612903225807,0.45161290322580644,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NYK,NYK @ ORL,11/18/2018,L,240,106.875,41.03125,91.1875,44.53125,9.5,28.375,32.84375,15.3125,19.84375,77.78125,11.1875,33.625,44.8125,21.9375,7.1875,4.5625,14.3125,22.15625,-5.53125,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LAL,LAL @ MIA,11/18/2018,W,240,111.5,41.65625,89.0,46.34375,10.875,30.9375,35.0625,17.3125,23.53125,73.25,10.21875,36.03125,46.25,24.46875,7.59375,5.125,15.59375,20.78125,-0.28125,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,
31,POR,POR @ WAS,11/18/2018,W,240,109.93548387096774,40.806451612903224,89.7741935483871,45.225806451612904,10.709677419354838,31.677419354838708,33.58064516129032,17.612903225806452,21.29032258064516,81.64516129032258,11.451612903225806,37.54838709677419,49.0,20.677419354838708,6.741935483870968,5.193548387096774,13.451612903225806,19.93548387096774,4.903225806451613,0.6129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MIN,MIN vs. MEM,11/18/2018,L,240,109.80645161290323,40.45161290322581,89.6774193548387,45.0,9.64516129032258,26.451612903225808,36.54838709677419,19.258064516129032,23.677419354838708,80.38709677419355,10.870967741935484,32.25806451612903,43.12903225806452,23.161290322580644,8.774193548387096,4.935483870967742,13.064516129032258,19.677419354838708,-1.6774193548387097,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,
