home,away,date,plac_H,plac_A,comments
MIL,OKC,02/28/2020,1.22,4.92,
NOP,CLE,02/28/2020,1.18,5.79,
ORL,MIN,02/28/2020,1.36,3.66,
PHX,DET,02/28/2020,1.42,3.37,
TOR,CHA,02/28/2020,1.13,7.14,
UTA,WAS,02/28/2020,1.22,4.92,
ATL,POR,02/29/2020,1.93,2.11,
BOS,HOU,02/29/2020,1.82,2.23,
CLE,IND,02/29/2020,3.25,1.44,
MEM,LAL,02/29/2020,3.37,1.42,
MIA,BKN,02/29/2020,1.4,3.5,
NYK,CHI,02/29/2020,1.71,2.42,
PHX,GSW,02/29/2020,1.3,4.23,
SAS,ORL,02/29/2020,1.76,2.32,
CHA,MIL,03/01/2020,5.79,1.18,
DEN,TOR,03/01/2020,1.53,2.91,
GSW,WAS,03/01/2020,3.19,1.45,
LAC,PHI,03/01/2020,1.16,6.22,
MIN,DAL,03/01/2020,3.56,1.39,
NOP,LAL,03/01/2020,2.34,1.75,
SAC,DET,03/01/2020,1.35,3.74,
ATL,MEM,03/02/2020,1.77,2.31,
CHI,DAL,03/02/2020,2.64,1.61,
CLE,UTA,03/02/2020,4.23,1.3,
MIA,MIL,03/02/2020,2.59,1.63,
NYK,HOU,03/02/2020,4.71,1.24,
ORL,POR,03/02/2020,1.4,3.5,
SAS,IND,03/02/2020,2.23,1.82,
BOS,BKN,03/03/2020,1.33,3.92,
CHA,SAS,03/03/2020,2.4,1.72,
DEN,GSW,03/03/2020,1.1,8.12,
LAL,PHI,03/03/2020,1.14,6.93,
NOP,MIN,03/03/2020,1.19,5.53,
OKC,LAC,03/03/2020,2.51,1.67,
PHX,TOR,03/03/2020,2.74,1.58,
SAC,WAS,03/03/2020,1.52,2.95,
BKN,MEM,03/04/2020,1.76,2.32,
CLE,BOS,03/04/2020,2.22,1.84,
DAL,NOP,03/04/2020,1.43,3.3,
DET,OKC,03/04/2020,3.56,1.39,
MIA,ORL,03/04/2020,1.33,3.92,
MIL,IND,03/04/2020,1.21,5.11,
MIN,CHI,03/04/2020,1.57,2.77,
NYK,UTA,03/04/2020,3.74,1.35,
POR,WAS,03/04/2020,1.33,3.92,
CHA,DEN,03/05/2020,3.92,1.33,
GSW,TOR,03/05/2020,3.66,1.36,
HOU,LAC,03/05/2020,2.0,2.01,
SAC,PHI,03/05/2020,1.54,2.88,
BKN,SAS,03/06/2020,1.7,2.45,
BOS,UTA,03/06/2020,1.69,2.47,
CHI,IND,03/06/2020,2.8,1.56,
DAL,MEM,03/06/2020,1.36,3.66,
LAL,MIL,03/06/2020,2.08,1.95,
MIN,ORL,03/06/2020,2.34,1.75,
NOP,MIA,03/06/2020,1.81,2.25,
NYK,OKC,03/06/2020,3.56,1.39,
PHX,POR,03/06/2020,2.25,1.81,
WAS,ATL,03/06/2020,1.7,2.45,
CHA,HOU,03/07/2020,4.02,1.32,
CLE,DEN,03/07/2020,4.57,1.26,
DET,UTA,03/07/2020,4.02,1.32,
GSW,PHI,03/07/2020,2.22,1.84,
MEM,ATL,03/07/2020,1.42,3.37,
POR,SAC,03/07/2020,1.72,2.4,
BKN,CHI,03/08/2020,1.45,3.19,
BOS,OKC,03/08/2020,1.61,2.64,
CLE,SAS,03/08/2020,2.88,1.54,
DAL,IND,03/08/2020,1.48,3.05,
HOU,ORL,03/08/2020,1.32,4.02,
LAC,LAL,03/08/2020,1.72,2.4,
MIN,NOP,03/08/2020,3.37,1.42,
NYK,DET,03/08/2020,1.45,3.19,
PHX,MIL,03/08/2020,3.56,1.39,
SAC,TOR,03/08/2020,3.14,1.46,
WAS,MIA,03/08/2020,2.91,1.53,
ATL,CHA,03/09/2020,1.6,2.67,
DEN,MIL,03/09/2020,1.6,2.67,
UTA,TOR,03/09/2020,1.6,2.67,
CHI,CLE,03/10/2020,1.61,2.64,
GSW,LAC,03/10/2020,5.3,1.2,
HOU,MIN,03/10/2020,1.16,6.22,
IND,BOS,03/10/2020,2.32,1.76,
LAL,BKN,03/10/2020,1.22,4.92,
MEM,ORL,03/10/2020,1.71,2.42,
POR,PHX,03/10/2020,1.56,2.8,
SAS,DAL,03/10/2020,2.53,1.66,
WAS,NYK,03/10/2020,1.58,2.74,
ATL,NYK,03/11/2020,1.58,2.74,
DAL,DEN,03/11/2020,2.08,1.95,
MIA,CHA,03/11/2020,1.24,4.71,
PHI,DET,03/11/2020,1.19,5.53,
LAL,LAC,07/30/2020,1.53,2.91,# location is kind of neutral
NOP,UTA,07/30/2020,1.76,2.32,# location is neutral
BKN,ORL,07/31/2020,3.37,1.42,#
MIL,BOS,07/31/2020,1.56,2.8,#
POR,MEM,07/31/2020,1.7,2.45,#
WAS,PHX,07/31/2020,3.58,1.37,#
SAS,SAC,07/31/2020,2.4,1.72,#
DAL,HOU,07/31/2020,1.77,2.31,#
NOP,MEM,08/03/2020,1.56,2.8,
WAS,IND,08/03/2020,3.74,1.35,

